waktu,Emir & Azlan,Fadel & Rafa,Arkan & Anja
08:50,0,0,0
08:52,0,0,0
08:54,2,1,0
08:56,6,1,1
08:58,12,1,1
09:00,15,1,1
09:02,17,1,2
09:04,21,2,5
09:06,28,2,5
09:08,32,2,5
09:09,33,2,8
09:10,35,2,10
09:12,38,2,16
09:14,40,3,21
09:16,41,4,21
09:18,44,4,22
09:20,50,4,24
09:22,54,4,27
09:24,57,5,29
09:26,63,6,30
09:28,71,7,32
09:30,78,8,32
09:32,87,8,33
09:34,95,8,35
09:36,104,10,38
09:38,114,11,39
09:40,122,11,44
09:42,126,12,48
09:44,132,13,53
09:46,141,14,56
09:48,147,14,62
09:50,154,18,66
09:52,159,21,69
09:54,164,24,71
09:56,173,24,72
09:58,179,24,74
10:00,186,24,77
10:02,194,24,81
10:04,200,24,83
10:06,205,24,89
10:08,209,25,98
10:10,215,25,104
10:12,218,27,108
10:14,218,27,116
10:16,223,28,118
10:18,226,29,119
10:20,226,29,119
10:22,227,29,119
10:24,227,29,119
10:26,227,29,119
10:28,228,29,120
10:30,228,29,120
10:32,228,29,120
10:34,228,29,120
10:36,228,29,120
10:38,228,29,120
10:40,228,29,120
10:42,229,29,120
10:44,229,29,120
10:46,229,29,120
10:48,229,29,120
10:50,229,29,122
10:52,229,29,122
10:54,229,29,122
10:56,229,29,122
10:58,229,29,122
11:00,229,29,122
11:02,229,29,122
11:04,229,29,122
11:06,229,29,123
11:08,229,29,124
11:10,229,29,124
11:12,229,29,124
11:14,229,29,124
11:16,230,29,125
11:18,230,29,125
11:20,230,29,126
11:22,230,29,125
11:24,230,29,125
11:26,232,29,125
11:28,232,29,125
11:30,232,29,126
11:32,232,29,127
11:34,232,29,127
11:36,232,29,127
11:38,233,29,127
11:40,233,29,128
11:42,233,29,128
11:44,233,29,128
11:46,233,29,128
11:48,233,29,128
11:50,233,29,128
11:52,233,29,128
11:54,233,29,128
11:56,233,29,128
11:58,233,29,128
